,title,rating,gross,votes,stars
0,A Walk Among the Tombstones,R,26307600,109681,6.5
1,The Giver,PG-13,45089048,109284,6.5
2,Before We Go,PG-13,37047,49354,6.8
3,The Equalizer,R,101530738,320312,7.2
4,A Long Way Down,R,13093,30335,6.4
5,Sin City: A Dame to Kill For,R,13757804,148362,6.5
6,House at the End of the Drive,R,,339,6.6
7,Ex Machina,R,25442958,454864,7.7
8,The Hero of Color City,G,31826,488,4
9,The Boxtrolls,PG,50837305,52979,6.8
10,Interstellar,PG-13,188020017,1417250,8.6
11,Dracula Untold,PG-13,56280355,172393,6.3
12,Godzilla,PG-13,200676069,367096,6.4
13,Electric Slide,R,,774,4.7
14,Mr. Peabody & Sherman,PG,111506430,60134,6.8
15,Love & Mercy,PG-13,12547189,34575,7.4
16,A Merry Friggin' Christmas,PG-13,,5739,5.1
17,Reach Me,PG-13,,2474,4.9
18,The Sisterhood of Night,PG-13,,1975,6.2
19,Selma,PG-13,52076908,81303,7.5
20,The Legend of Hercules,PG-13,18848538,51667,4.2
21, Deniz yildizi,G,,,
22,Boyhood,R,25379975,327752,7.9
23,The Prince,R,,16899,4.6
24,Blended,PG-13,46294610,113551,6.5
25,Foxcatcher,R,12096300,131011,7
26,Paddington,PG,76271832,93204,7.2
27,Seventh Son,PG-13,17223265,69172,5.5
28,Big Eyes,PG-13,14479776,82350,7
29,Dwegons and Leprechauns,PG,,94,4
30,After,R,,167,5.1
31,Cold in July,R,414623,33396,6.8
32,You're Not You,R,,23437,7.3
33,Ouija,PG-13,50856010,46305,4.5
34,Jack Ryan: Shadow Recruit,PG-13,50577412,119399,6.2
35,16 Stones,PG,,77,4.9
36,Austin Mahone: My Journey,G,,,
37,Kill the Messenger,R,2450846,43131,6.9
38,RoboCop,PG-13,58607007,212098,6.1
39,Locker 13,R,2468,289,4.8
40,Serena,R,176305,26033,5.4
41,300: Rise of an Empire,R,106580051,274224,6.2
42,Hercules,PG-13,72688614,142398,6
43,Behind the Door,R,,50,5.1
44,Saints and Soldiers: The Void,PG-13,,2137,5.3
45,Dying of the Light,R,,9390,4.4
46,Teenage Mutant Ninja Turtles,PG-13,191204754,197166,5.8
47,The Angriest Man in Brooklyn,R,,20467,5.7
48,Sunshine Superman,PG,87875,1255,6.9
49,Something Wicked,R,,1305,4.6
50,If I Stay,PG-13,50474843,112740,6.7
51,Good People,R,,15023,5.5
52,This Is Where I Leave You,R,34290142,69282,6.6
53,Ardor,R,,759,5.1
54,Haunted,R,,2361,4.7
55,Revenge of the Green Dragons,R,,3616,5.3
56,Wolves,R,,7838,5.3
57,Sinbad: The Fifth Voyage,PG-13,,4402,5.2
58,Ride Along,PG-13,134938200,99231,6.2
59,"I, Frankenstein",PG-13,19075290,77060,5.1
60,John Doe: Vigilante,R,,8162,6.6
61,Brick Mansions,PG-13,20285518,38909,5.7
62,Testament of Youth,PG-13,1822030,25478,7.3
63,The Letters,PG,1646574,915,6.1
64,"Rio, I Love You",R,,1784,5.2
65,Henry & Me,PG,,142,6.2
66,The Lego Movie,PG,257760692,316727,7.7
67,The End of Something,R,,7,5.9
68,Exodus: Gods and Kings,PG-13,65014513,156198,6
69,Born of War,R,,355,4.3
70,Jinn,PG-13,149337,4471,4.2
71,The Voices,R,,51313,6.4
72,The Humbling,R,,6214,5.6
73,The Skeleton Twins,R,5283379,38835,6.8
74,Murder101,PG-13,,40,4.3
75,Maleficent,PG,241410378,332179,7
76,Katherine of Alexandria,R,,361,3.6
77,Pawn Sacrifice,PG-13,2436062,37928,7
78,Cry Now,R,,73,5.3
79,The Drop,R,10724389,138444,7.1
80,A Fine Step,PG,,303,5.3
81,Frank,R,644906,73048,7
82,Effie Gray,PG-13,343257,4032,5.9
83,Cesar Chavez,PG-13,5550866,3149,6.4
84,Hector and the Search for Happiness,R,1121961,43955,7
85,The Reckoning,R,,6,6.7
86,Edge of Tomorrow,PG-13,100206256,578308,7.9
87,Missing William,PG,,459,6.1
88,"Love, Rosie",R,14893,115074,7.2
89,The Prophet,PG,335030,4061,7.1
90,Skin Trade,R,1242,7317,5.6
91,How to Train Your Dragon 2,PG,177002924,295054,7.8
92,Million Dollar Arm,PG,36447959,42427,7
93,[REC] 4: Apocalypse,R,708,15494,5.3
94,Cut Bank,R,,10548,6
95,Dead Sea,R,,1304,3.3
96,The Calling,R,,7666,5.8
97,Alongside Night,PG-13,,494,2.2
98,Ace Wonder: Message from a Dead Man,PG,,228,5.3
99,The Incredible Adventure of Jojo (And His Annoying Little Sister Avila),PG,,49,5
100,A Free Bird,R,,118,5.5
101,Vampire Academy,PG-13,7791979,50730,5.5
102,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",PG,66954149,39402,6.2
103,Every Secret Thing,R,,6827,6.1
104,Teen Lust,R,,1553,4.6
105,Some Kind of Beautiful,R,,13118,5.7
106,Before I Go to Sleep,R,2963012,68832,6.3
107,Jersey Boys,R,47034272,31931,6.8
108,Sabotage,R,10508518,57653,5.7
109,Persecuted,PG-13,1175045,1479,3.5
110,Enchanted Kingdom 3D,G,,664,7.5
111,Mischief Night,R,,726,4.7
112,Bullseye,PG-13,,5,7.8
113,She's Funny That Way,R,88460,23544,6.1
114,Stonehearst Asylum,PG-13,,49201,6.8
115,50 to 1,PG-13,1063723,1844,6.4
116,Manny,PG-13,,2153,7.1
117,Clown,R,55007,21067,5.7
118,The Maze Runner,PG-13,102427862,404686,6.8
119,Inherent Vice,R,8110975,90703,6.7
120,While We're Young,R,7574066,44940,6.3
121,Rudderless,R,37440,17089,7.5
122,That Awkward Moment,R,26049082,95621,6.1
123,Lords of London,R,,722,3.2
124,Unbroken,PG-13,115637895,140118,7.2
125,The Nut Job,PG,64251541,25732,5.7
126,Annie,PG,85911262,32940,5.3
127,About Last Night,R,48637684,22049,6.1
128,Northern Soul,R,6786,3532,6.4
129,Winter's Tale,PG-13,22451,50951,6.2
130,Divergent,PG-13,150947895,414753,6.7
131,Captain America: The Winter Soldier,PG-13,259766572,710512,7.7
132,The Loft,R,5981749,50074,6.3
133,Low Down,R,44500,1832,6.1
134,Song of the Sea,PG,857524,48192,8.1
135,My Dog the Space Traveler,PG,,37,4.5
136,The Amazing Spider-Man 2,PG-13,202853933,405771,6.6
137,The Judge,R,47119388,170958,7.4
138,X-Men: Days of Future Past,PG-13,233921534,645030,8
139,Date and Switch,R,,7550,5.7
140,En duva satt på en gren och funderade på tillvaron,PG-13,222284,15616,7
141,476 A.D. Chapter One: The Last Light of Aries,PG,,187,5.1
142,Penguins of Madagascar,PG,83348920,76396,6.7
143,California Scheming,R,,665,3.4
144,Pompeii,PG-13,23219748,104166,5.5
145,Trash,R,10230,19831,7.2
146,Let's Be Cops,R,82390774,125099,6.4
147,Mall,R,,1320,5
148,Heaven Is for Real,PG,91443253,25211,5.8
149,Ride,R,,3794,5.7
150,Monsters: Dark Continent,R,,9771,4.3
151,Get Santa,PG,,3112,6.2
152,Everly,R,,16604,5.1
153,Red Sky,PG-13,,1424,4.1
154,The Hunger Games: Mockingjay - Part 1,PG-13,337135885,399462,6.6
155,Dark Hearts,R,,350,4.5
156,Streets of Hope,PG-13,,124,4.9
157,Sex Tape,R,38543473,104870,5.1
158,Noah,PG-13,101200044,237938,5.8
159,Boys of Abu Ghraib,R,,2040,5.4
160,Infinitely Polar Bear,R,1428647,14568,7
161,Automata,R,,52942,6.1
162,A Most Wanted Man,R,17237244,70471,6.8
163,The Best of Me,PG-13,26761283,63612,6.7
164,Flight 7500,PG-13,,14213,4.8
165,The Two Faces of January,PG-13,506067,28721,6.2
166,Tom Sawyer & Huckleberry Finn,PG-13,,769,5.2
167,Spanish Lake,G,,178,6.5
168,Dumbbells,R,,690,3.5
169,Roswell FM,PG-13,,24,5.6
170,Altergeist,R,,305,3.9
171,Exists,R,,7964,5.2
172,NightLights,R,21099,76,7.8
173,Neighbors,R,150157400,277880,6.3
174,Disciples,R,,229,2.1
175,No Good Deed,PG-13,52543632,17380,5.6
176,Guardians of the Galaxy,PG-13,333176600,1012855,8
177,Délibáb,R,,388,5.5
178,Non-Stop,PG-13,92168600,244370,6.9
179,Laggies,R,440338,40652,6.4
180,The Gambler,R,33631221,63284,6
181,Kite,R,,5587,4.4
182,Old Fashioned,PG-13,1914090,1847,5.2
183,Glen Campbell: I'll Be Me,PG,365522,1454,8
184,13 Sins,R,9134,31791,6.3
185,The Longest Week,PG-13,,11145,5.4
186,Ribbit,PG,,611,4
187,SEAL Patrol,R,,634,3.6
188,A Tiger in the Dark: The Decadence Saga,R,,50,7.7
189,The Imitation Game,PG-13,91125683,657821,8
190,Big Game,PG-13,16909,30181,5.4
191,Runoff,R,29227,326,5.8
192,Dumb and Dumber To,PG-13,86208010,125046,5.6
193,In the Blood,R,,10986,5.7
194,Tammy,R,84525432,46392,4.9
195,Dawn of the Planet of the Apes,PG-13,208545589,403480,7.6
196,$50K and a Call Girl: A Love Story,R,,1835,6.8
197,Into the Storm,PG-13,47602194,63012,5.8
198,Transformers: Age of Extinction,PG-13,245439076,292563,5.6
199,Swelter,R,,2709,4.5
200,Elsa & Fred,PG-13,,2837,6.4
201,Authors Anonymous,PG-13,,1999,4.3
202,Force Majeure,R,1358561,46525,7.3
203,3 Nights in the Desert,R,1279,1365,5.1
204,An American in Hollywood,R,,203,7
205,"Electric Boogaloo: The Wild, Untold Story of Cannon Films",R,,4937,7.4
206,10 Cent Pistol,Unrated,,479,4.8
207,Playing It Cool,R,,24761,6
208,Two Night Stand,R,15600,63554,6.4
209,Robot Overlords,PG-13,,6494,4.6
210,Fear Clinic,R,,6223,4.9
211,My Man Is a Loser,R,,1265,4.4
212,Dognapped,G,,54,4.9
213,Horrible Bosses 2,R,54445357,153001,6.3
214,St. Vincent,PG-13,44134898,93190,7.2
215,Wheels,R,,17485,9
216,Maps to the Stars,R,347648,36739,6.2
217,3 Days to Kill,PG-13,30697999,84976,6.2
218,A Winter Rose,PG-13,,133,5.7
219,The Monuments Men,PG-13,78031620,121652,6.1
220,American Sniper,R,350126372,423746,7.3
221,School Dance,R,,1334,4.5
222,Into the Woods,PG,128002372,128533,5.9
223,A Good Marriage,R,,9573,5.2
224,Death Do Us Part,R,,969,4.2
225,Premature,R,,9411,5.8
226,Song One,PG-13,31250,8899,5.8
227,Earth to Echo,PG,38916903,18037,5.8
228,The M Word,R,,46,6.2
229,The Sound and the Shadow,R,,38,7.9
230,Stage Fright,R,7078,4303,5.2
231,The Dark Horse,R,61505,5592,7.5
232,The Barber,R,,2405,5.9
233,The Other Woman,PG-13,83911193,127805,6
234,Addicted,R,17382982,8545,5.2
235,Transcendence,PG-13,23022309,211759,6.3
236,Lullaby,R,,2497,6.2
237,The Bag Man,R,48817,15969,5.2
238,Helen Alone,R,,91,6.2
239,4 Minute Mile,PG-13,,2644,6.3
240,The Toy Soldiers,R,,520,5.9
241,Seymour: An Introduction,PG,580000,986,7.4
242,Draft Day,PG-13,28831145,51616,6.8
243,Donors,PG,,17,3.4
244,Diamonds to Dust,R,,217,5.4
245,Calvary,R,3593460,54453,7.4
246,Dear White People,R,4404154,23806,6.1
247,The Quiet Ones,PG-13,8496112,18681,5.1
248,White Bird in a Blizzard,R,33518,26351,6.4
249,Think Like a Man Too,PG-13,65182182,19341,5.8
250,Big Hero 6,PG,222527828,395702,7.8
251,Supremacy,R,,4321,5.7
252,Back in the Day,R,,1617,5
253,When the Game Stands Tall,PG,30127963,14962,6.7
254,Gutshot Straight,R,,1429,3.7
255,Two Men in Town,R,,1924,5.7
256,Frank vs. God,PG,,225,6.1
257,Asylum,R,,366,2.5
258,Black Sea,R,1171559,33616,6.4
259,The Book of Life,PG,50151543,62530,7.3
260,A Short History of Decay,R,,481,5.9
261,The Raid 2,R,2625803,110454,8
262,Gone Girl,R,167767189,819071,8.1
263,The Visitant,PG-13,,381,4.6
264,A Little Game,PG,,434,6.3
265,The Grand Budapest Hotel,R,59100318,677077,8.1
266,Muppets Most Wanted,PG,51183113,30513,6.4
267,The Possession of Michael King,R,,11318,5.7
268,Making the Rules,R,,294,3.5
269,Baby Geniuses and the Treasures of Egypt,G,,3549,3.9
270,Northmen - A Viking Saga,R,,8806,5.4
271,The Appearing,R,,1361,3
272,The Devil's Hand,PG-13,4239,3535,4.9
273,22 Jump Street,R,191719337,335635,7
274,Zarra's Law,R,,164,4.7
275,Falcon Rising,R,8691,7613,5.8
276,Highway to Dhampus,PG,,164,8
277,Friended to Death,R,,445,4.9
278,Jessabelle,PG-13,,21784,5.4
279,23 Blast,PG-13,485128,1666,6.5
280,The Green Prince,PG-13,257779,2538,7.2
281,Reasonable Doubt,R,,18209,5.7
282,Wild,R,37880356,116008,7.1
283,Chemical Peel,R,,562,4.8
284,Small Time,R,,1268,6
285,The Hobbit: The Battle of the Five Armies,PG-13,255119788,459418,7.4
286,Healing,R,,774,6.7
287,Grantham & Rose,PG,,239,5.6
288,Behaving Badly,R,,10043,4.5
289,Dawn,PG,,45,6.3
290,La belle et la bête,PG-13,,19054,6.4
291,The Better Angels,PG,,1232,6.1
292,Endless Love,PG-13,23393765,39462,6.3
293,Zero Point,PG,,897,7.4
294,Freezer,R,,3181,5.2
295,Falcon Song,PG,,42,5.4
296,The Identical,PG,2817092,2474,5.2
