,release_date,movie,distributor,domestic_box_office_to_date,trailer
0,2007-01-05,Code Name: The Cleaner ,New Line,8135024, 
1,2007-01-05,Freedom Writers ,Paramount Pictures,36605602, 
2,2007-01-05,Happily N'Ever After ,Lionsgate,15849032, 
3,2007-01-05,Perfume: The Story of a Murderer ,Paramount Pictures,2223293, 
4,2007-01-05,The Breed ,First Look,, 
5,2007-01-05,Comedy of Power ,Koch Lorber Films,80550, 
6,2007-01-05,Thr3e ,The Bigger Picture,1008849, 
7,2007-01-11,Le Serpent ,,, 
8,2007-01-12,Alpha Dog ,Universal,15309602, 
9,2007-01-12,Arthur and the Invisibles ,Weinstein Co.,15132763, 
10,2007-01-12,Primeval ,Walt Disney,10597734, 
11,2007-01-12,Stomp the Yard ,Sony Pictures,61356221, 
12,2007-01-12,Tears of the Black Tiger ,Magnolia Pictures,75234, 
13,2007-01-12,Guru ,AdLab Films,2096000, 
14,2007-01-12,Verdict on Auschwitz: The Frankfurt Trial 1963-1965 ,First Run Features,11396, 
15,2007-01-12,God Grew Tired of Us: The Story of Lost Boys of Sudan ,Newmarket Films,301447, 
16,2007-01-17,Alone with Her ,IFC Films,10787, 
17,2007-01-19,The Hitcher ,Focus Features,16379582, 
18,2007-01-19,The Dead Girl ,First Look,19875, 
19,2007-01-19,Pan's Labyrinth ,Picturehouse,37634615, 
20,2007-01-19,The Painted Veil ,Warner Independent,8060487, 
21,2007-01-19,China Blue ,Argot Pictures,12185, 
22,2007-01-19,The Italian ,Sony Pictures Classics,552546, 
23,2007-01-19,Mafioso ,Rialto Pictures,398614, 
24,2007-01-21,The Holy Mountain ,Abkco Films,60234, 
25,2007-01-21,Sacco and Vanzetti ,First Run Features,32203, 
26,2007-01-22,Four Sheets to the Wind ,,, 
27,2007-01-25,Salaam-e-Ishq ,Eros Entertainment,1852050, 
28,2007-01-26,Blood and Chocolate ,MGM,3526588, 
29,2007-01-26,Catch and Release ,Sony Pictures,15432542, 
30,2007-01-26,Epic Movie ,20th Century Fox,39739367, 
31,2007-01-26,Smokin' Aces ,Universal,35662731, 
32,2007-01-26,Funny Money ,ThinkFilm,2844, 
33,2007-01-26,G.I. Jesus ,Wildcat Releasing,8593, 
34,2007-01-26,Il Ne Faut Jurer de Rien ,Alliance Films,23442, 
35,2007-01-26,Seraphim Falls ,Samuel Goldwyn Films,418296, 
36,2007-01-31,An Unreasonable Man ,IFC First Take,176647, 
37,2007-01-31,The Pool ,Vitagraph Films,94901, 
38,2007-02-02,Because I Said So ,Universal,42674040, 
39,2007-02-02,The Messengers ,Sony Pictures,35374833, 
40,2007-02-02,Can Mr. Smith Get to Washington Anymore? ,At Risk Films,, 
41,2007-02-02,Constellation ,The Bigger Picture,306533, 
42,2007-02-02,East of Havana ,Sony/BMG,11550, 
43,2007-02-02,In the Pit ,Kino International,10433, 
44,2007-02-02,Factory Girl ,MGM,1661464, 
45,2007-02-02,Fired! ,International Film Circuit,5661, 
46,2007-02-02,Partition ,,, 
47,2007-02-02,Puccini for Beginners ,Strand,89417, 
48,2007-02-02,Raising Flagg ,Cinema Libre,4109, 
49,2007-02-02,The Situation ,Shadow,48896, 
50,2007-02-09,Hannibal Rising ,Weinstein Co.,27669725, 
51,2007-02-09,Norbit ,Paramount Pictures,95673607, 
52,2007-02-09,Black Friday ,AdLab Films,35000, 
53,2007-02-09,Breaking and Entering ,Weinstein Co.,930469, 
54,2007-02-09,Burning Annie ,,, 
55,2007-02-09,The Last Sin Eater ,20th Century Fox,388390, 
56,2007-02-09,The Lives of Others ,Sony Pictures Classics,11284657, 
57,2007-02-09,Notes on Marie Menken ,First Run/Icarus,577, 
58,2007-02-09,Operation Homecoming ,The Documentary Group,6795, 
59,2007-02-13,"Ma Fille, Mon Ange ",Alliance Films,2779545, 
60,2007-02-14,Daddy's Little Girls ,Lionsgate,31366978, 
61,2007-02-14,Music and Lyrics ,Warner Bros.,50572589, 
62,2007-02-14,Bamako ,New Yorker,112351, 
63,2007-02-16,Breach ,Universal,33000880, 
64,2007-02-16,Bridge to Terabithia ,Walt Disney,82234139, 
65,2007-02-16,Ghost Rider ,Sony Pictures,115802596, 
66,2007-02-16,2006 Academy Award Nominated Short Films ,Magnolia Pictures,335090, 
67,2007-02-16,CafÃ© Setareh ,Iranian Film Society,, 
68,2007-02-16,Eklavya - The Royal Guard ,Eros Entertainment,1290212, 
69,2007-02-16,Avenue Montaigne ,ThinkFilm,2044858, 
70,2007-02-16,Days of Glory ,Weinstein Co.,320700, 
71,2007-02-16,Close to Home ,IFC First Take,20931, 
72,2007-02-16,Antibodies ,Slowhand Cinema,, 
73,2007-02-16,Grbavica: The Land of My Dreams ,Strand,43460, 
74,2007-02-23,The Abandoned ,Lionsgate/After Dark,1255524, 
75,2007-02-23,Amazing Grace ,Samuel Goldwyn Films,21214987, 
76,2007-02-23,The Astronaut Farmer ,Warner Bros.,11003643, 
77,2007-02-23,The Number 23 ,New Line,35193167, 
78,2007-02-23,Reno 911!: Miami ,20th Century Fox,20342161, 
79,2007-02-23,The Taste of Tea ,Viz Pictures,, 
80,2007-02-23,Glastonbury ,ThinkFilm,8419, 
81,2007-02-23,Gray Matters ,Yari Film Group Releasing,71561, 
82,2007-02-23,Nos Voisins Dhantsu ,,291962, 
83,2007-02-23,Premium ,Codeblack Entertainment,, 
84,2007-02-23,Starter for Ten ,Picturehouse,216839, 
85,2007-02-28,Into Great Silence ,Zeitgeist,790452, 
86,2007-02-28,Wild Tigers I Have Known ,IFC First Take,9946, 
87,2007-03-02,Black Snake Moan ,Paramount Vantage,9396870, 
88,2007-03-02,Full of It ,New Line,14273, 
89,2007-03-02,Wild Hogs ,Walt Disney,168213584, 
90,2007-03-02,Zodiac ,Paramount Pictures,33080084, 
91,2007-03-02,"Cats of Mirikitan, The ",,38925, 
92,2007-03-02,Vengeance is Mine ,,13565, 
93,2007-03-02,Gangsta Rap ,Wildcat Releasing,, 
94,2007-03-02,Nishabd ,Eros Entertainment,73819, 
95,2007-03-02,Rock Bottom ,,12890, 
96,2007-03-02,Two Weeks ,MGM,46605, 
97,2007-03-07,Exterminating Angels ,IFC First Take,23308, 
98,2007-03-09,300 ,Warner Bros.,210614939, 
99,2007-03-09,The Ultimate Gift ,Film Foundry,3438735, 
100,2007-03-09,Believe in Me ,IFC Films,209654, 
101,2007-03-09,The Host ,Magnolia Pictures,2201923, 
102,2007-03-09,"Maxed Out: Hard Times, Easy Credit and the Era of Predatory Lenders ",Magnolia Pictures,58829, 
103,2007-03-09,The Namesake ,Fox Searchlight,13610521, 
104,2007-03-09,Beyond the Gates ,IFC Films,40848, 
105,2007-03-09,Islander ,Slowhand Cinema,59676, 
106,2007-03-09,300 ,Warner Bros.,210614939, 
107,2007-03-14,Blockade ,First Run/Icarus,11750, 
108,2007-03-16,Dead Silence ,Universal,16574590, 
109,2007-03-16,I Think I Love My Wife ,Fox Searchlight,12559771, 
110,2007-03-16,Premonition ,Sony Pictures,47852604, 
111,2007-03-16,Beyond the Gates ,IFC Films,40848, 
112,2007-03-16,Adam's Apples ,Outsider,1305, 
113,2007-03-16,American Cannibal ,Lifesize Entertainment,16567, 
114,2007-03-16,Behind the Mask: The Rise of Leslie Vernon ,Anchor Bay Entertainment,69136, 
115,2007-03-16,Caffeine ,First Look,, 
116,2007-03-16,The Earrings of Madame De... ,Janus Films,137612, 
117,2007-03-16,Hattrick ,UTV Communications,24502, 
118,2007-03-16,My Brother ,Codeblack Entertainment,62707, 
119,2007-03-16,Nomad ,Weinstein Co.,79123, 
120,2007-03-16,Tortilla Heaven ,Wildcat Releasing,105401, 
121,2007-03-16,The Wind That Shakes the Barley ,IFC First Take,1829142, 
122,2007-03-23,The Hills Have Eyes II ,20th Century Fox,20804166, 
123,2007-03-23,The Last Mimzy ,New Line,21471047, 
124,2007-03-23,Pride ,Lionsgate,7057600, 
125,2007-03-23,Reign Over Me ,Sony Pictures,19661987, 
126,2007-03-23,Shooter ,Paramount Pictures,47003582, 
127,2007-03-23,TMNT ,Warner Bros.,54149098, 
128,2007-03-23,Air Guitar Nation ,Shadow,71471, 
129,2007-03-23,Boy Culture ,TLA Releasing,220409, 
130,2007-03-23,The Boys and Girls Guide to Getting Down ,Kosmic Films,, 
131,2007-03-23,Cobra Verde ,518 Media,7402, 
132,2007-03-23,Colour Me Kubrick: A True...ish Story ,Magnolia Pictures,71190, 
133,2007-03-23,First Snow ,Yari Film Group Releasing,214864, 
134,2007-03-23,Journey from the Fall ,Imaginasian,635305, 
135,2007-03-23,The Marsh ,Alliance Films,336, 
136,2007-03-23,Mem-o-re ,Aloha Releasing,1500, 
137,2007-03-23,Namastey London ,Eros Entertainment,1207007, 
138,2007-03-23,Offside ,Sony Pictures Classics,179948, 
139,2007-03-23,The Piccadilly Cowboy ,Ford Films,8000, 
140,2007-03-23,Sharkwater ,Alliance Films,850920, 
141,2007-03-23,The Page Turner ,Tartan Films,208691, 
142,2007-03-23,What Love Is ,,18901, 
143,2007-03-23,The Prisoner or: How I Planned to Kill Tony Blair ,,2500, 
144,2007-03-28,U-Carmen e-Khayelitsha ,Koch Lorber Films,494152, 
145,2007-03-30,Blades of Glory ,Paramount Pictures,118594548, 
